brown,burnt umber,#8a3324
brown,chestnut,#954535
brown,desert sand,#edc9af
brown,khaki,#c3b091
brown,kobicha,#6b4423
brown,peru,#cd853f
brown,raw umber,#826644
brown,rosy brown,#bc8f8f
brown,russet,#80461b
brown,sandy brown,#f4a460
brown,smokey topaz,#832a0d
brown,tan,#d2b48c
brown,taupe,#483c32
brown,wood brown,#c19a6b
orange,traditional orange,#ff7f00
orange,orange,#ffa500
orange,dark orange,#ff8c00
orange,papaya whip,#ffefd5
orange,peach,#ffe5b4
orange,apricot,#fbceb1
orange,melon,#fdbcb4
orange,atomic tangerine,#ff9966
orange,tea rose,#f88379
orange,carrot orange,#ed9121
orange,orange peel,#ff9f00
orange,princeton orange,#f58025
orange,spanish orange,#e86100
orange,pumpkin,#ff7518
orange,giants orange,#fe5a1d
orange,vermillion,#e34234
orange,tomato,#ff6347
orange,bittersweet,#fe6f5e
orange,persimmon,#ec5800
orange,persian orange,#d99058
orange,alloy orange,#c46310
orange,burnt orange,#cc5500
orange,bittersweet shimmer,#bf4f51
yellow,dark golden rod,#b8860b
yellow,lemon chiffon,#fffacd
yellow,light golden rod yellow,#fafad2
yellow,light yellow,#ffffe0
yellow,pale golden rod,#eee8aa
yellow,yellow,#ffff00
yellow,light yellow,#ffffed
yellow,cream,#ffffcc
yellow,unmellow yellow,#ffff66
yellow,lemon,#ffacd
yellow,mellow yellow,#f8de7e
yellow,royal yellow,#fada5e
yellow,gold,#ffd700
yellow,cyber yellow,#ffd300
yellow,safety yellow,#edd202
yellow,goldenrod,#daa520
yellow,olive,#808000
green,mint cream,#f5fffa
green,chartreuse,#7fff00
green,dark olive green,#556b2f
green,dark sea green,#8fbc8f
green,dark turquoise,#00ced1
green,honey dew,#f0fff0
green,lawn green,#7cfc00
green,lime green,#32cd32
green,lime,#00ff00
green,medium sea green,#3cb371
green,medium spring green,#00fa9a
green,medium turquoise,#48d1cc
green,pale turquoise,#afeeee
green,spring green,#00ff7f
green,yellow green,#9acd32
green,artichoke,#8f9779
green,asparagus,#87a96b
green,avocado,#568203
green,fern green,#71bc78
green,forest green,#228b22
green,hooker's green,#49796b
green,jungle green,#29ab87
green,laurel green,#a9ba9d
green,light green,#90ee90
green,mantis,#74c365
green,moss green,#8a9a58
green,myrtle green,#317873
green,mint green,#98fb98
green,pine green,#01796f
green,shamrock green,#009e60
green,teal,#008080
green,dark green,#006400
green,bright green,#66ff00
green,brunswick green,#1b4d3e
green,cal poly pomona green,#1e4d2b
green,dark pastel green,#03c03c
green,dartmouth green,#00703c
green,emerald,#50c878
green,feldgrau,#4d5d53
green,go green,#00ab66
green,yellow-green,#adff2f
green,harlequin,#3fff00
green,hunter green,#355e3b
green,india green,#138808
green,islamic green,#009900
green,jade,#00a86b
green,kelly green,#4cbb17
green,malachite,0bda51
green,msu green,#18453b
green,north texas green,#002779
green,office green,#008000
green,pakistan green,#006600
green,paris green,#50c878
green,persian green,#00a693
green,rifle green,#444c38
green,russian green,#679267
green,sacramento state green,#00563f
green,sea green,#2e8b57
green,spanish green,#009150
cyan,cyan,#00ffff
cyan,light cyan,#e0ffff
cyan,aero blue,#c9ffe5
cyan,celeste,#b2ffff
cyan,electric blue,#7df9ff
cyan,turquoise,#40e0d0
cyan,robin egg blue,#00cccc
cyan,light sea green,#20b2aa
cyan,blue-green,#0d98ba
cyan,keppel,#3ab09e
cyan,cerulean,#007ba7
cyan,dark cyan,#008b8b
cyan,midnight green,#004953
cyan,charleston green,#232b2b
cyan,aquamarine,#7fffd4
cyan,medium aqua marine,#66cdaa
blue,alice blue,#f0f8ff
blue,azure,#f0ffff
blue,blue violet,#8a2be2
blue,cadet blue,#5f9ea0
blue,cornflower blue,#6495ed
blue,dark slate blue,#483d8b
blue,deep sky blue,#00bfff
blue,dodger blue,#1e90ff
blue,light sky blue,#87cefa
blue,light steel blue,#b0c4de
blue,medium slate blue,#7b68ee
blue,royal blue,#4169e1
blue,sky blue,#87ceeb
blue,slate blue,#6a5acd
blue,steel blue,#4682b4
blue,blue,#0000ff
blue,periwinkle,#ccccff
blue,powder blue,#b0e0e6
blue,light blue,#add8e6
blue,baby blue,#89cff0
blue,crayola blue,#1f75fe
blue,medium blue,#0000cd
blue,spanish blue,#0070bb
blue,liberty,#545aa7
blue,egyption blue,#1034a6
blue,dark blue,#00008b
blue,electric ultramarine,#3f00ff
blue,resolution blue,#002387
blue,navy blue,#000080
blue,catalina blue,#062a78
blue,midnight blue,#191970
blue,independence,#4c516d
blue,space cadet,$1d2951
purple,purple,#800080
purple,tyrian purple,#66023c
purple,royal purple,#7851a9
purple,red-violet,#c71585
purple,thistle,#d8bfd8
purple,mauve,#e0b0ff
purple,orchid,#da70d6
purple,heliotrope,#df73ff
purple,phlox,#df00ff
purple,purple pizzazz,#fe4eda
purple,liseran purple,#de6fa1
purple,mulberry,#c54b8c
purple,pearly purple,#b768a2
purple,purpureus,#9a4eae
purple,ksu purple,#512888
purple,pomp and power,#86608e
purple,mardi gras,#880095
purple,eminence,#6c3082
purple,byzantium,#702963
purple,pansy,#78184a
purple,dark violet,#9400d3
purple,lavender blush,#fff0f5
purple,lavender,#e6e6fa
purple,medium purple,#9370db
purple,medium violet red,#c71585
purple,pale violet red,#db7093
purple,plum,#dda0dd
purple,purple,#800080
purple,violet,#ee82ee
